regionID,zipCode,city,lat,lon
106,46850,"OLLERIA, L'",38.9395,-0.5214
107,12080,CASTELLON DE LA PLANA,40.2108,0.0272
108,23611,HIGUERA DE CALATRAVA,37.7985,-4.1574
109,3360,CALLOSA DE SEGURA,38.125,-0.8624000000000004
110,29770,TORROX,36.7579,-3.9523
111,3158,CATRAL,38.1776,-0.8033888888888888
112,15959,PALMEIRA (RIBEIRA),42.5833,-8.95
113,45542,CASAR DE ESCALONA (EL),40.0464,-4.5251
114,34218,CEVICO DE LA TORRE,41.8511,-4.4097
115,34480,ALAR DEL REY,42.6604,-4.3127
116,32740,PARADA DEL SIL,42.3561,-7.535899999999999
117,17850,BESALU,42.2167,2.6896714285714287
118,47260,CABEZON DE PISUERGA,41.7616,-4.6236
119,46640,MOGENTE,39.0618,-0.6295
120,3530,"NUCIA, LA",38.6137,-0.11640227272727267
121,10910,MALPARTIDA DE CACERES,39.4466,-6.5076
122,16841,ALBALATE DE LAS NOGUERAS,40.3661,-2.2772
123,14140,"VICTORIA, LA",37.6813,-4.852
124,45100,SONSECA,39.6775,-3.9745
125,47133,VEGA DE VALDETRONCO,41.5864,-5.12385
126,39292,SAN MIGUEL DE MERUELO,43.0289,-4.036566666666666
127,10940,GARROVILLAS,39.7108,-6.5503
128,33720,BOAL,43.431999999999995,-6.8151
129,33590,COLOMBRES,43.3754,-4.574807142857141
130,45164,GALVEZ,39.7021,-4.2724
131,37240,LUMBRALES,40.935,-6.7195
132,41110,CORIA DEL RIO,37.3401,-6.1372
133,33780,TREVIAS,43.5403,-6.408528571428572
134,31540,BUÑUEL,41.9801,-1.445
135,3630,SAX,38.5373,-0.8178
136,21330,VALDELAMUSA,37.7799,-6.883725
137,47210,ATAQUINES,41.1825,-4.8032
138,39795,ESCALANTE,43.4368,-3.5135
139,3291,ELCHE,38.2622,-0.7011
140,27740,MONDOÑEDO,43.3287,-7.2771
141,16670,"PROVENCIO, EL",39.3774,-2.5745
142,40355,FUENTESAUCO DE FUENTIDUEÑA,41.4244,-4.0621
143,27880,BURELA,43.65,-7.4
144,3749,"POBLETS, ELS",38.5833,0.0007071428571428572
145,15614,CAMPOLONGO (PONTEDEUME),43.4,-8.303322222222219
146,20700,ZUMARRAGA,43.091,-2.31555
147,16270,VILLALPARDO,39.4667,-1.6333
148,15270,CEE,42.9547,-9.188
149,3790,ORBA,38.7705,-0.1012
150,10880,ZARZA LA MAYOR,39.8769,-6.8621
151,21280,ARROYOMOLINOS DE LEON,38.0167,-6.4167
152,10693,RIOLOBOS,39.9207,-6.303999999999999
153,45221,ESQUIVIAS,40.1044,-3.7668
154,13360,GRANATULA DE CALATRAVA,38.7969,-3.7434
155,46880,BOCAIRENT,38.7667,-0.6167
156,20810,ORIO,43.266999999999996,-2.1222000000000003
157,48610,URDULIZ,43.3833,-2.95
158,17004,GIRONA,41.9831,2.8249
159,31005,PAMPLONA,42.8169,-1.6432
160,13650,PUERTO LAPICE,39.3236,-3.4815
161,12596,TORREBLANCA,40.2203,0.209
162,14870,ZUHEROS,37.5433,-4.3153
163,18260,ILLORA,37.2877,-3.879
164,41310,BRENES,37.5494,-5.8714
165,28812,PEZUELA DE LAS TORRES,40.4167,-3.23495
166,4120,CAÑADA DE SAN URBANO (LA,36.8565,-2.408100000000001
167,18656,LECRIN,36.9382,-3.549185714285714
168,24420,FABERO,42.768,-6.6265
169,4270,SORBAS,37.0901,-2.1274
170,40250,MOZONCILLO,41.1454,-4.1875
171,31171,ORORBIA,42.8164,-1.768375
172,41960,GINES,37.3868,-6.0774
173,44410,MOSQUERUELA,40.3613,-0.4489
174,44380,VILLARQUEMADO,40.5175,-1.265
175,4459,OHANES,37.0386,-2.74
176,41420,FUENTES DE ANDALUCIA,37.4641,-5.3461
177,23660,ALCAUDETE,37.5909,-4.0824
178,40450,NAVA DE LA ASUNCION,41.1559,-4.4875
179,4569,BENTARIQUE,36.9839,-2.60835
180,47420,ISCAR,41.3612,-4.5335
181,49400,FUENTESAUCO,41.2304,-5.4972
182,50230,ALHAMA DE ARAGON,41.2966,-1.8936
183,21410,ISLA-CRISTINA,37.2,-7.3167
184,14310,OBEJO,38.1326,-4.8002
185,4620,VERA,37.2434,-1.859
186,50177,BUJARALOZ,41.4981,-0.1529
187,4647,GUAZAMARA,37.3667,-1.7727818181818185
188,14930,MONTURQUE,37.4719,-4.5816
189,4650,ZURGENA,37.3667,-2.0257400000000003
190,33680,COLLANZO DE ALLER,43.1235,-5.5642
191,41809,ALBAIDA DEL ALJARAFE,37.4235,-6.1667
192,33760,CASTROPOL,43.5278,-7.0305
193,4712,BALERMA,36.7315,-2.8865
194,41610,PARADAS,37.2905,-5.497000000000001
195,29640,FUENGIROLA,36.54,-4.6247
196,27640,BECERREA,42.8371,-7.1636
197,45638,PEPINO,40.1599,-4.7946
198,4738,ALMERIA,36.8315,-2.6427000000000005
199,36770,ROSAL,42.0167,-8.833300000000003
200,23430,RUS,38.0476,-3.4625
201,20014,SAN SEBASTIAN-DONOSTIA,43.3128,-1.975
202,43130,TARRAGONA,41.2667,1.60835
203,31514,VALTIERRA,42.1965,-1.6346
204,4830,VÉLEZ BLANCO,37.7088,-2.1092875
