Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
05970;Siegen-Wittgenstein;Personen;Anzahl;273746;e
05974;Soest;Personen;Anzahl;298067;e
05978;Unna;Personen;Anzahl;393393;e
06411;Darmstadt, Wissenschaftsstadt;Personen;Anzahl;161767;e
06412;Frankfurt am Main, Stadt;Personen;Anzahl;743268;e
06413;Offenbach am Main, Stadt;Personen;Anzahl;129479;e
06414;Wiesbaden, Landeshauptstadt;Personen;Anzahl;284260;e
06431;Bergstraße;Personen;Anzahl;271617;e
06432;Darmstadt-Dieburg;Personen;Anzahl;299862;e
06433;Groß-Gerau;Personen;Anzahl;264354;e
06434;Hochtaunuskreis;Personen;Anzahl;238604;e
06435;Main-Kinzig-Kreis;Personen;Anzahl;412094;e
06436;Main-Taunus-Kreis;Personen;Anzahl;237050;e
06437;Odenwaldkreis;Personen;Anzahl;94576;e
06438;Offenbach;Personen;Anzahl;351706;e
06439;Rheingau-Taunus-Kreis;Personen;Anzahl;185308;e
06440;Wetteraukreis;Personen;Anzahl;307056;e
06531;Gießen;Personen;Anzahl;264705;e
06532;Lahn-Dill-Kreis;Personen;Anzahl;251972;e
06533;Limburg-Weilburg;Personen;Anzahl;173279;e
06534;Marburg-Biedenkopf;Personen;Anzahl;240664;e
06535;Vogelsbergkreis;Personen;Anzahl;101014;e
06611;Kassel, documenta-Stadt;Personen;Anzahl;195012;e
06631;Fulda;Personen;Anzahl;219953;e
06632;Hersfeld-Rotenburg;Personen;Anzahl;118253;e
06633;Kassel;Personen;Anzahl;229935;e
06634;Schwalm-Eder-Kreis;Personen;Anzahl;178587;e
06635;Waldeck-Frankenberg;Personen;Anzahl;154482;e
06636;Werra-Meißner-Kreis;Personen;Anzahl;98421;e
07111;Koblenz, kreisfreie Stadt;Personen;Anzahl;112963;e
07131;Ahrweiler;Personen;Anzahl;127699;e
07132;Altenkirchen (Westerwald);Personen;Anzahl;131159;e
07133;Bad Kreuznach;Personen;Anzahl;163672;e
07134;Birkenfeld;Personen;Anzahl;82062;e
07135;Cochem-Zell;Personen;Anzahl;61536;e
07137;Mayen-Koblenz;Personen;Anzahl;215317;e
07138;Neuwied;Personen;Anzahl;186866;e
07140;Rhein-Hunsrück-Kreis;Personen;Anzahl;105319;e
07141;Rhein-Lahn-Kreis;Personen;Anzahl;124391;e
07143;Westerwaldkreis;Personen;Anzahl;206605;e
07211;Trier, kreisfreie Stadt;Personen;Anzahl;102727;e
07231;Bernkastel-Wittlich;Personen;Anzahl;112796;e
07232;Eifelkreis Bitburg-Prüm;Personen;Anzahl;98809;e
07233;Vulkaneifel;Personen;Anzahl;59281;e
07235;Trier-Saarburg;Personen;Anzahl;147805;e
07311;Frankenthal (Pfalz), kreisfreie Stadt;Personen;Anzahl;47992;e
07312;Kaiserslautern, kreisfreie Stadt;Personen;Anzahl;99689;e
07313;Landau in der Pfalz, kreisfreie Stadt;Personen;Anzahl;47072;e
07314;Ludwigshafen am Rhein, kreisfreie Stadt;Personen;Anzahl;172889;e
07315;Mainz, kreisfreie Stadt;Personen;Anzahl;220386;e
07316;Neustadt an der Weinstraße, kreisfreie Stadt;Personen;Anzahl;52778;e
07317;Pirmasens, kreisfreie Stadt;Personen;Anzahl;38936;e
07318;Speyer, kreisfreie Stadt;Personen;Anzahl;49482;e
07319;Worms, kreisfreie Stadt;Personen;Anzahl;84986;e
07320;Zweibrücken, kreisfreie Stadt;Personen;Anzahl;33141;e
07331;Alzey-Worms;Personen;Anzahl;129739;e
07332;Bad Dürkheim;Personen;Anzahl;133847;e
07333;Donnersbergkreis;Personen;Anzahl;74787;e
07334;Germersheim;Personen;Anzahl;130551;e
07335;Kaiserslautern;Personen;Anzahl;105761;e
07336;Kusel;Personen;Anzahl;69530;e
07337;Südliche Weinstraße;Personen;Anzahl;112576;e
07338;Rhein-Pfalz-Kreis;Personen;Anzahl;155243;e
07339;Mainz-Bingen;Personen;Anzahl;205297;e
07340;Südwestpfalz;Personen;Anzahl;90480;e
08111;Stuttgart, Stadtkreis;Personen;Anzahl;610458;e
08115;Böblingen;Personen;Anzahl;389650;e
08116;Esslingen;Personen;Anzahl;529895;e
08117;Göppingen;Personen;Anzahl;255589;e
08118;Ludwigsburg;Personen;Anzahl;528576;e
08119;Rems-Murr-Kreis;Personen;Anzahl;435660;e
08121;Heilbronn, Stadtkreis;Personen;Anzahl;128303;e
08125;Heilbronn, Landkreis;Personen;Anzahl;348958;e
08126;Hohenlohekreis;Personen;Anzahl;114027;e
08127;Schwäbisch Hall;Personen;Anzahl;197296;e
08128;Main-Tauber-Kreis;Personen;Anzahl;132215;e
08135;Heidenheim;Personen;Anzahl;133426;e
08136;Ostalbkreis;Personen;Anzahl;314697;e
08211;Baden-Baden, Stadtkreis;Personen;Anzahl;55887;e
08212;Karlsruhe, Stadtkreis;Personen;Anzahl;305408;e
08215;Karlsruhe, Landkreis;Personen;Anzahl;451114;e
08216;Rastatt;Personen;Anzahl;230071;e
08221;Heidelberg, Stadtkreis;Personen;Anzahl;153809;e
08222;Mannheim, Stadtkreis;Personen;Anzahl;313693;e
08225;Neckar-Odenwald-Kreis;Personen;Anzahl;144470;e
08226;Rhein-Neckar-Kreis;Personen;Anzahl;554521;e
