Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
010515178084;Oesterdeichstrich;Personen;Anzahl;310;e
010515178093;Reinsbüttel;Personen;Anzahl;389;e
010515178105;Schülp;Personen;Anzahl;369;e
010515178108;Strübbel;Personen;Anzahl;95;e
010515178109;Süderdeich;Personen;Anzahl;435;e
010515178121;Warwerort;Personen;Anzahl;226;e
010515178127;Wesselburen, Stadt;Personen;Anzahl;3346;e
010515178128;Wesselburener Deichhausen;Personen;Anzahl;107;e
010515178129;Wesselburenerkoog;Personen;Anzahl;165;e
010515178132;Westerdeichstrich;Personen;Anzahl;797;e
010515178140;Oesterwurth;Personen;Anzahl;241;e
010530032032;Geesthacht, Stadt;Personen;Anzahl;32343;e
010530083083;Lauenburg/ Elbe, Stadt;Personen;Anzahl;11395;e
010530090090;Mölln, Stadt;Personen;Anzahl;19392;e
010530100100;Ratzeburg, Stadt;Personen;Anzahl;14873;e
010530116116;Schwarzenbek, Stadt;Personen;Anzahl;16889;e
010530129129;Wentorf bei Hamburg;Personen;Anzahl;13524;e
010535308008;Behlendorf;Personen;Anzahl;405;e
010535308009;Berkenthin;Personen;Anzahl;2171;e
010535308011;Bliestorf;Personen;Anzahl;631;e
010535308024;Düchelsdorf;Personen;Anzahl;154;e
010535308034;Göldenitz;Personen;Anzahl;231;e
010535308061;Kastorf;Personen;Anzahl;1165;e
010535308067;Klempau;Personen;Anzahl;597;e
010535308075;Krummesse;Personen;Anzahl;1629;e
010535308094;Niendorf bei Berkenthin;Personen;Anzahl;193;e
010535308103;Rondeshagen;Personen;Anzahl;794;e
010535308120;Sierksrade;Personen;Anzahl;441;e
010535313002;Alt-Mölln;Personen;Anzahl;851;e
010535313005;Bälau;Personen;Anzahl;225;e
010535313013;Borstorf;Personen;Anzahl;315;e
010535313014;Breitenfelde;Personen;Anzahl;2099;e
010535313037;Grambek;Personen;Anzahl;534;e
010535313056;Hornbek;Personen;Anzahl;226;e
010535313084;Lehmrade;Personen;Anzahl;591;e
010535313095;Niendorf/ Stecknitz;Personen;Anzahl;697;e
010535313113;Schretstaken;Personen;Anzahl;512;e
010535313125;Talkau;Personen;Anzahl;543;e
010535313134;Woltersdorf (Kreis Herzogtum Lauenburg);Personen;Anzahl;350;e
